timestamp,artist,track,album,source,duration_seconds
#Add your data here 
2026-02-26T11:59:02.901073,Colour Me Wednesday,Don't Tell Anyone,,SomaFM Indie Pop,180
2026-02-26T12:02:25.382161,Tame Impala,Why Won't They Talk To Me,,SomaFM Indie Pop,180
2026-02-26T12:07:17.887382,New Pornographers,Angelcover,,SomaFM Indie Pop,180
2026-02-26T12:10:40.396621,Magnetic Fields,Walk A Lonely Road,,SomaFM Indie Pop,180
2026-02-26T12:13:29.136932,Dr. Dog,Love Struck (Feat. M. Ward),,SomaFM Indie Pop,180
2026-02-26T13:46:05.140254,Phantom Wave,Echoes Unknown,,SomaFM Indie Pop,180
2026-02-26T13:51:17.304321,Foals,Birch Tree,,SomaFM Indie Pop,180
2026-02-26T14:09:08.725843,Cut Worms,Evil Twin (Radio Edit),,SomaFM Indie Pop,180
2026-02-26T14:23:50.083308,Admiral Fallow,To Not Be Left Behind,,SomaFM Indie Pop,180
2026-02-26T14:24:46.307999,Fruit Bats,Creature From The Wild,,SomaFM Indie Pop,180
2026-02-26T14:27:57.561013,Juliana Hatfield,Fall Apart,,SomaFM Indie Pop,180
2026-02-26T14:31:31.303445,"Loney, Dear",Largo,,SomaFM Indie Pop,180
2026-02-26T14:34:42.579060,Green Buzzard,To Be Like You,,SomaFM Indie Pop,180
2026-02-26T14:37:53.820508,Operators,In Moderan,,SomaFM Indie Pop,180
2026-02-26T14:41:16.299708,Nyles Lannon,Submarine,,SomaFM Indie Pop,180
2026-02-26T14:44:27.560472,Softlung,Midnight Mountains,,SomaFM Indie Pop,180
2026-02-26T14:48:35.062770,Nilufer Yanya,Kneel,,SomaFM Indie Pop,180
2026-02-26T14:59:11.746909,Ratatat,Lex,,SomaFM Indie Pop,180
2026-02-26T14:59:23.002839,Yo La Tengo,Sugarcube,,SomaFM Indie Pop,180
2026-02-26T15:02:22.986353,Kate Prendergast,Retold Tale,,SomaFM Indie Pop,180
2026-02-26T15:05:45.491166,Throwing Muses,You're Clouds,,SomaFM Indie Pop,180
2026-02-26T15:09:07.988722,Wet Leg,Davina Mccall (Clean Edit),,SomaFM Indie Pop,180
2026-02-26T15:12:41.755357,Alvvays,Next Of Kin,,SomaFM Indie Pop,180
2026-02-26T15:16:26.738678,They Might Be Giants,Answer,,SomaFM Indie Pop,180
2026-02-26T15:19:37.975292,Stars,Hold On When You Get Love And Let Go When You Give It,,SomaFM Indie Pop,180
2026-02-26T15:24:19.232078,Kelley Stoltz,"I Remember, You Were Wild",,SomaFM Indie Pop,180
2026-02-26T15:27:30.490760,Greeting Committee,Cyclical,,SomaFM Indie Pop,180
2026-02-26T15:30:52.976084,Sea Lemon,Silver,,SomaFM Indie Pop,180
2026-02-26T15:33:52.971538,Celestial Bums,The Letters,,SomaFM Indie Pop,180
